Task,T1069
Scope 1/1, Sample 1/9 (JUNK 1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-39.6,19.2,NaN,,,,,,
0.0200,16,-66.1,19.3,0.0010,,,,,,
0.0400,19,-66.6,19.3,0.0060,,,,,,
0.0900,24,-63.8,19.3,0.0110,,,,,,
0.2150,54,-45.1,19.3,0.0040,,,,,,
0.2720,84,-26.2,19.3,0.0020,,,,,,
0.2935,105,-16.1,19.3,0.0010,,,,,,
0.3175,125,-8.8,19.3,0.0010,,,,,,
0.3775,144,-0.2,19.3,0.0030,,,,,,
0.5275,174,16.6,19.3,0.0050,,,,,,
0.7105,204,33.2,19.3,0.0060,81.23,1.91,,,,NaN
0.9105,234,50.1,19.3,0.0065,79.78,1.90,,,,NaN
1.1105,264,68.5,19.3,0.0065,105.82,2.02,,,,NaN
1.2715,295,86.7,19.3,0.0055,150.89,2.18,,,,NaN
1.3870,322,104.6,19.3,0.0045,210.96,2.32,,,,NaN
1.4245,462,112.6,19.3,0.0005,252.73,2.40,,,,NaN
1.4520,480,119.1,19.3,0.0015,291.86,2.47,,,,NaN
1.4825,499,128.3,19.3,0.0015,329.43,2.52,,,,NaN
1.5035,516,135.8,19.3,0.0015,359.99,2.56,,,,NaN
1.5235,530,144.4,19.3,0.0015,415.43,2.62,,,,NaN
1.5435,544,153.4,19.3,0.0015,425.46,2.63,,,,NaN
1.5635,556,162.6,19.3,0.0015,386.81,2.59,,,,NaN
1.5835,567,170.5,19.3,0.0020,336.28,2.53,,,,NaN
1.6070,577,178.1,19.3,0.0025,295.85,2.47,,,,NaN
1.6375,586,185.8,19.3,0.0030,250.94,2.40,,,,NaN
1.6770,594,193.6,19.3,0.0045,201.50,2.30,,,,NaN
1.7295,602,201.4,19.3,0.0060,,,,,,
1.8025,610,209.4,19.3,0.0090,,,,,,
1.9005,618,217.3,19.3,0.0120,,,,,,
2.0350,625,225.1,19.3,0.0185,,,,,,
2.2230,633,233.2,19.3,0.0240,,,,,,
Scope 1/1, Sample 2/9 (ACR-51_20200109_11)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,2.3,18.1,NaN,,,,,,
0.0200,28,-50.9,18.1,0.0005,,,,,,
0.0400,31,-51.2,18.1,0.0075,,,,,,
0.0900,61,-38.2,18.2,0.0015,,,,,,
0.1100,91,-27.3,18.2,0.0005,,,,,,
0.1300,115,-19.2,18.2,0.0010,,,,,,
0.1800,145,-4.9,18.2,0.0015,,,,,,
0.2590,161,3.4,18.2,0.0050,,,,,,
0.4565,191,24.5,18.3,0.0065,,,,,,
0.6030,222,43.2,18.3,0.0050,119.71,2.08,,,,NaN
0.7085,252,60.3,18.3,0.0035,138.18,2.14,,,,NaN
0.7855,280,71.6,18.3,0.0030,159.82,2.20,,,,NaN
0.9060,309,88.5,18.4,0.0040,199.93,2.30,,,,NaN
1.0260,330,112.9,18.4,0.0060,301.83,2.48,,,,NaN
1.0530,468,120.9,18.5,0.0000,352.27,2.55,,,,NaN
1.0730,487,128.4,18.5,0.0010,376.66,2.58,,,,NaN
1.0930,502,137.1,18.5,0.0015,395.39,2.60,,,,NaN
1.1130,518,147.3,18.5,0.0010,459.82,2.66,,,,NaN
1.1330,531,157.9,18.5,0.0015,465.36,2.67,,,,NaN
1.1530,542,167.6,18.5,0.0020,404.15,2.61,,,,NaN
1.1730,553,175.5,18.5,0.0020,349.91,2.54,,,,NaN
1.1980,562,183.4,18.5,0.0030,302.70,2.48,,,,NaN
1.2300,570,191.2,18.5,0.0040,249.58,2.40,,,,NaN
1.2725,579,199.2,18.5,0.0050,,,,,,
1.3280,587,206.8,18.5,0.0075,,,,,,
1.4080,594,214.9,18.6,0.0120,,,,,,
1.5145,601,222.8,18.6,0.0155,,,,,,
1.6615,608,230.8,18.6,0.0200,,,,,,
Scope 1/1, Sample 3/9 (ACR-140_20200110_12)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,6.8,18.3,NaN,,,,,,
0.0200,28,-49.3,18.4,0.0005,,,,,,
0.0400,31,-49.9,18.4,0.0075,,,,,,
0.0900,61,-37.6,18.4,0.0015,,,,,,
0.1110,91,-26.4,18.4,0.0005,,,,,,
0.1310,115,-18.0,18.4,0.0010,,,,,,
0.1805,145,-4.0,18.4,0.0015,,,,,,
0.2640,176,9.4,18.5,0.0025,,,,,,
0.4395,206,26.7,18.5,0.0060,,,,,,
0.6395,236,45.9,18.5,0.0065,101.55,2.01,,,,NaN
0.8120,266,69.6,18.5,0.0055,154.09,2.19,,,,NaN
0.8935,296,85.9,18.5,0.0025,198.08,2.30,,,,NaN
0.9485,316,94.7,18.5,0.0030,234.85,2.37,,,,NaN
1.0740,337,125.9,18.6,0.0060,347.64,2.54,,,,NaN
1.0945,472,133.5,18.6,0.0000,374.04,2.57,,,,NaN
1.1145,488,143.2,18.6,0.0015,374.12,2.57,,,,NaN
1.1345,501,153.2,18.6,0.0015,421.05,2.62,,,,NaN
1.1545,513,163.4,18.6,0.0015,434.34,2.64,,,,NaN
1.1745,524,172.1,18.6,0.0020,364.19,2.56,,,,NaN
1.1965,534,179.6,18.6,0.0025,319.25,2.50,,,,NaN
1.2260,542,187.5,18.7,0.0040,268.85,2.43,,,,NaN
1.2640,550,195.4,18.7,0.0050,214.41,2.33,,,,NaN
1.3125,558,203.0,18.7,0.0060,,,,,,
1.3820,565,211.0,18.7,0.0095,,,,,,
1.4760,572,219.0,18.7,0.0130,,,,,,
1.6035,579,226.9,18.7,0.0170,,,,,,
1.7800,587,234.9,18.7,0.0230,,,,,,
Scope 1/1, Sample 4/9 (ACR-180_20200109_11)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,3.2,18.4,NaN,,,,,,
0.0200,27,-51.1,18.4,0.0005,,,,,,
0.0400,30,-51.5,18.4,0.0060,,,,,,
0.0900,60,-39.0,18.5,0.0015,,,,,,
0.1105,91,-28.2,18.5,0.0005,,,,,,
0.1305,116,-19.9,18.5,0.0010,,,,,,
0.1795,146,-6.0,18.5,0.0015,,,,,,
0.2610,164,3.5,18.5,0.0045,,,,,,
0.4610,194,25.8,18.5,0.0065,,,,,,
0.6100,224,44.0,18.6,0.0050,112.17,2.05,,,,NaN
0.7310,255,60.8,18.6,0.0040,131.64,2.12,,,,NaN
0.8310,285,75.4,18.6,0.0035,159.48,2.20,,,,NaN
0.9360,310,90.2,18.6,0.0040,199.82,2.30,,,,NaN
1.0535,332,114.7,18.6,0.0055,299.94,2.48,,,,NaN
1.0795,469,122.2,18.7,0.0000,347.86,2.54,,,,NaN
1.0995,485,129.5,18.7,0.0010,370.90,2.57,,,,NaN
1.1195,502,138.1,18.7,0.0010,392.02,2.59,,,,NaN
1.1395,517,148.2,18.7,0.0015,451.50,2.65,,,,NaN
1.1595,530,158.7,18.7,0.0015,456.03,2.66,,,,NaN
1.1795,541,167.9,18.7,0.0020,394.50,2.60,,,,NaN
1.1995,552,175.7,18.7,0.0020,342.57,2.53,,,,NaN
1.2240,561,183.3,18.7,0.0030,297.70,2.47,,,,NaN
1.2560,569,191.0,18.7,0.0040,245.36,2.39,,,,NaN
1.2985,577,198.8,18.7,0.0050,,,,,,
1.3560,585,206.7,18.7,0.0070,,,,,,
1.4340,593,214.5,18.8,0.0100,,,,,,
1.5425,600,222.5,18.8,0.0155,,,,,,
1.6895,607,230.5,18.8,0.0215,,,,,,
Scope 1/1, Sample 5/9 (ACR-193_20200110_12)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,3.3,18.5,NaN,,,,,,
0.0200,28,-50.8,18.6,0.0005,,,,,,
0.0400,31,-51.2,18.6,0.0075,,,,,,
0.0900,61,-38.6,18.6,0.0015,,,,,,
0.1100,91,-27.9,18.6,0.0005,,,,,,
0.1300,113,-20.5,18.6,0.0010,,,,,,
0.1800,143,-6.1,18.6,0.0015,,,,,,
0.2515,159,3.3,18.6,0.0045,,,,,,
0.4305,189,22.3,18.7,0.0060,,,,,,
0.6170,220,45.4,18.7,0.0060,110.32,2.04,,,,NaN
0.7280,250,60.8,18.7,0.0035,126.17,2.10,,,,NaN
0.8310,280,74.7,18.7,0.0035,152.96,2.18,,,,NaN
0.9520,305,91.6,18.7,0.0050,197.76,2.30,,,,NaN
1.0630,328,114.4,18.7,0.0050,292.84,2.47,,,,NaN
1.0895,467,122.0,18.8,0.0000,342.26,2.53,,,,NaN
1.1095,482,129.0,18.8,0.0015,365.64,2.56,,,,NaN
1.1295,498,137.5,18.8,0.0015,383.62,2.58,,,,NaN
1.1495,512,147.3,18.8,0.0015,445.82,2.65,,,,NaN
1.1695,526,157.7,18.8,0.0015,452.26,2.66,,,,NaN
1.1895,537,167.1,18.8,0.0020,393.46,2.59,,,,NaN
1.2095,547,174.6,18.8,0.0020,342.87,2.54,,,,NaN
1.2365,556,183.1,18.8,0.0030,293.36,2.47,,,,NaN
1.2670,564,190.6,18.8,0.0035,245.50,2.39,,,,NaN
1.3090,572,198.2,18.8,0.0050,,,,,,
1.3685,580,206.3,18.8,0.0075,,,,,,
1.4460,587,214.1,18.9,0.0105,,,,,,
1.5545,594,222.1,18.9,0.0145,,,,,,
1.7015,601,230.0,18.9,0.0200,,,,,,
Scope 1/1, Sample 6/9 (POC-47_20200110_12)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,1.6,18.6,NaN,,,,,,
0.0200,27,-51.5,18.6,0.0005,,,,,,
0.0400,30,-51.6,18.6,0.0060,,,,,,
0.0900,60,-40.1,18.6,0.0015,,,,,,
0.1145,91,-29.0,18.6,0.0010,,,,,,
0.1345,117,-20.2,18.6,0.0010,,,,,,
0.1715,142,-8.9,18.6,0.0015,,,,,,
0.2480,168,3.1,18.7,0.0030,,,,,,
0.4390,198,22.1,18.7,0.0065,,,,,,
0.6390,228,43.3,18.7,0.0065,106.24,2.03,,,,NaN
0.7815,258,62.8,18.7,0.0045,132.68,2.12,,,,NaN
0.8715,282,77.3,18.7,0.0040,160.63,2.21,,,,NaN
0.9560,307,89.5,18.7,0.0035,194.23,2.29,,,,NaN
1.0785,330,113.2,18.8,0.0055,280.04,2.45,,,,NaN
1.1095,469,121.6,18.8,0.0000,333.86,2.52,,,,NaN
