Task,T3379
Scope 1/1, Sample 1/33 (Junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-88.3,21.7,NaN,,
0.0010,1,-88.6,21.7,0.0010,,
0.0025,2,-88.5,21.7,0.0015,,
0.0050,3,-88.6,21.7,0.0020,,
0.0085,4,-88.6,21.7,0.0030,,
0.0150,5,-88.7,21.7,0.0060,,
0.0230,6,-88.7,21.7,0.0075,,
0.0315,7,-88.6,21.7,0.0075,,
0.0400,8,-88.5,21.7,0.0075,,
0.0485,9,-88.4,21.7,0.0070,,
0.0560,10,-88.3,21.7,0.0070,,
0.0645,11,-88.0,21.7,0.0075,,
0.0730,12,-87.7,21.7,0.0075,,
0.0810,13,-87.4,21.7,0.0075,,
0.0895,14,-87.1,21.7,0.0075,,
0.0980,15,-86.7,21.7,0.0075,,
0.1055,16,-86.2,21.7,0.0070,,
0.1140,17,-85.7,21.7,0.0075,,
0.1225,18,-85.2,21.7,0.0075,,
0.1310,19,-84.7,21.7,0.0075,,
0.1395,20,-84.2,21.7,0.0075,,
0.1480,21,-83.6,21.7,0.0075,,
0.1555,22,-83.1,21.7,0.0070,,
0.1640,23,-82.5,21.7,0.0075,,
0.1720,24,-81.8,21.7,0.0075,,
0.1805,25,-81.1,21.7,0.0075,,
0.1890,26,-80.5,21.7,0.0075,,
0.1975,27,-79.8,21.7,0.0075,,
0.2050,28,-79.1,21.7,0.0070,,
0.2135,29,-78.3,21.7,0.0075,,
0.2220,30,-77.5,21.7,0.0075,,
0.2305,31,-76.8,21.7,0.0075,,
0.2385,32,-76.0,21.7,0.0075,,
0.2470,33,-75.2,21.7,0.0075,,
0.2555,34,-74.3,21.7,0.0070,,
0.2630,35,-73.5,21.7,0.0070,,
0.2715,36,-72.5,21.7,0.0075,,
0.2800,37,-71.6,21.7,0.0075,,
0.2885,38,-70.6,21.7,0.0075,,
0.2970,39,-69.5,21.7,0.0075,,
0.3045,40,-68.7,21.7,0.0070,,
0.3130,41,-67.7,21.7,0.0075,,
0.3215,42,-66.6,21.7,0.0075,,
0.3300,43,-65.5,21.7,0.0075,,
0.3380,44,-64.4,21.7,0.0065,,
0.3465,45,-63.3,21.7,0.0075,,
0.3550,46,-62.3,21.7,0.0075,,
