"Task","T3556"
"Scope 1/1, Sample 1/5 (JUNK 2)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","118.1","18.8","NaN","","","","","",""
"0.0200","28","53.4","18.8","0.0005","","","","","",""
"0.0400","176","-55.5","18.8","0.0000","","","","","",""
"0.0600","180","-55.8","18.8","0.0045","","","","","",""
"0.1100","210","-52.0","18.8","0.0015","","","","","",""
"0.1670","241","-44.9","18.8","0.0020","493.91","2.69","","","","NaN"
"0.2050","271","-36.7","18.7","0.0015","221.88","2.35","","","","NaN"
"0.2270","301","-29.5","18.7","0.0005","128.76","2.11","","","","NaN"
"0.2470","332","-23.9","18.7","0.0005","128.26","2.11","","","","NaN"
"0.2795","362","-18.8","18.7","0.0010","129.17","2.11","","","","NaN"
"0.3605","392","-13.5","18.7","0.0025","92.35","1.97","","","","NaN"
"0.5605","422","-7.4","18.7","0.0065","25.68","1.41","","","","NaN"
"0.7605","452","-0.3","18.7","0.0065","7.96","0.90","","","","NaN"
"0.9605","470","3.5","18.7","0.0115","38.09","1.58","","","","NaN"
"1.1605","500","14.9","18.7","0.0065","135.21","2.13","","","","NaN"
"1.2580","530","24.6","18.7","0.0030","233.49","2.37","","","","NaN"
"1.3040","560","34.7","18.7","0.0015","335.09","2.53","","","","NaN"
"1.3240","591","44.8","18.7","0.0005","394.32","2.60","","","","NaN"
"1.3440","621","54.9","18.6","0.0005","436.25","2.64","","","","NaN"
"1.3640","651","65.1","18.6","0.0005","522.77","2.72","","","","NaN"
"1.3840","681","75.7","18.6","0.0005","576.46","2.76","","","","NaN"
"1.4040","712","87.7","18.6","0.0005","582.71","2.77","","","","NaN"
"1.4240","742","99.0","18.6","0.0005","630.08","2.80","","","","NaN"
"1.4440","772","111.7","18.6","0.0005","675.12","2.83","","","","NaN"
"1.4640","802","125.2","18.6","0.0005","691.17","2.84","","","","NaN"
"1.4840","832","139.9","18.6","0.0005","646.50","2.81","","","","NaN"
"1.5040","863","153.7","18.5","0.0005","550.16","2.74","","","","NaN"
"1.5240","893","164.7","18.5","0.0005","452.58","2.66","","","","NaN"
"1.5440","918","172.5","18.5","0.0010","390.27","2.59","","","","NaN"
"1.5730","941","180.9","18.5","0.0015","317.19","2.50","","","","NaN"
"1.6100","959","188.9","18.5","0.0020","240.92","2.38","","","","NaN"
"1.6590","975","196.9","18.5","0.0030","","","","","",""
"1.7240","988","204.7","18.5","0.0050","","","","","",""
"1.8140","1000","212.7","18.5","0.0070","","","","","",""
"1.9370","1011","220.7","18.5","0.0110","","","","","",""
"2.1070","1021","228.3","18.5","0.0165","","","","","",""
"Scope 1/1, Sample 2/5 (BT 1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","120.3","19.6","NaN","","","","","",""
"0.0200","28","68.4","19.7","0.0005","","","","","",""
"0.0400","179","-39.2","19.5","0.0000","","","","","",""
"0.0600","204","-41.7","19.5","0.0010","","","","","",""
"0.1100","210","-40.8","19.5","0.0080","","","","","",""
"0.2350","240","-31.3","19.5","0.0040","556.87","2.75","","","","NaN"
"0.2900","271","-22.6","19.5","0.0020","400.27","2.60","","","","NaN"
"0.3145","301","-16.2","19.4","0.0010","137.25","2.14","","","","NaN"
"0.3345","331","-9.4","19.4","0.0005","98.19","1.99","","","","NaN"
"0.3545","361","-5.1","19.4","0.0005","92.32","1.97","","","","NaN"
"0.4045","392","-1.0","19.4","0.0015","101.42","2.01","","","","NaN"
