Task,T2018
Scope 1/1, Sample 1/9 (Junk2)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,80.2,18.9,NaN,,,,,,
0.0200,28,-9.5,19.0,0.0005,,,,,,
0.0400,58,-45.6,19.0,0.0005,,,,,,
0.0620,71,-50.3,19.0,0.0015,,,,,,
0.1170,74,-50.3,19.0,0.0155,,,,,,
0.2545,105,-27.6,18.9,0.0045,,,,,,
0.3010,135,-13.6,18.9,0.0015,,,,,,
0.3300,157,-6.7,18.9,0.0015,,,,,,
0.4025,173,-1.3,18.9,0.0045,,,,,,
0.5835,184,3.3,18.9,0.0170,,,,,,
0.7835,214,18.6,18.9,0.0065,43.43,1.64,,,,NaN
0.9835,244,39.3,18.9,0.0065,246.42,2.39,,,,NaN
1.1020,274,64.7,18.9,0.0040,445.09,2.65,,,,NaN
1.1385,304,87.2,18.9,0.0010,508.33,2.71,,,,NaN
1.1585,335,105.9,18.9,0.0005,525.97,2.72,,,,NaN
1.1785,479,123.3,18.9,0.0000,537.14,2.73,,,,NaN
1.1985,508,132.9,18.9,0.0005,653.04,2.81,,,,NaN
1.2285,537,149.0,18.9,0.0010,498.62,2.70,,,,NaN
1.2485,556,158.6,18.9,0.0010,405.07,2.61,,,,NaN
1.2685,572,166.3,18.8,0.0015,350.73,2.54,,,,NaN
1.2940,586,174.2,18.8,0.0020,295.24,2.47,,,,NaN
1.3265,599,181.8,18.8,0.0025,245.68,2.39,,,,NaN
1.3715,610,189.7,18.8,0.0040,185.79,2.27,,,,NaN
1.4330,620,197.7,18.8,0.0060,,,,,,
1.5135,629,205.5,18.8,0.0085,,,,,,
1.6265,638,213.4,18.8,0.0135,,,,,,
1.7855,646,221.6,18.8,0.0210,,,,,,
1.9855,653,229.0,18.8,0.0275,,,,,,
Scope 1/1, Sample 2/9 (1_C_Sq2_20220702)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,90.8,15.9,NaN,,,,,,
0.0200,27,22.3,15.8,0.0005,,,,,,
0.0400,58,-16.9,15.8,0.0005,,,,,,
0.0600,88,-33.8,15.9,0.0005,,,,,,
0.1040,91,-34.8,15.9,0.0145,,,,,,
0.2140,121,-22.0,15.9,0.0035,,,,,,
0.3095,151,-11.2,16.0,0.0030,,,,,,
0.4530,179,-1.3,16.0,0.0050,,,,,,
0.6530,185,0.5,16.0,0.0330,,,,,,
0.8530,215,14.6,16.1,0.0065,84.65,1.93,,,,NaN
1.0530,246,33.8,16.1,0.0065,277.72,2.44,,,,NaN
1.1910,276,67.8,16.2,0.0045,513.91,2.71,,,,NaN
1.2165,306,95.3,16.2,0.0010,552.79,2.74,,,,NaN
1.2365,336,116.8,16.3,0.0005,542.66,2.73,,,,NaN
1.2565,483,134.0,16.4,0.0000,544.09,2.74,,,,NaN
1.2765,509,143.9,16.4,0.0010,657.42,2.82,,,,NaN
1.3045,532,156.4,16.5,0.0010,420.53,2.62,,,,NaN
1.3245,549,163.9,16.5,0.0010,362.85,2.56,,,,NaN
1.3500,563,171.6,16.5,0.0020,299.20,2.48,,,,NaN
1.3830,576,179.4,16.5,0.0025,237.98,2.38,,,,NaN
1.4270,588,187.0,16.5,0.0040,186.37,2.27,,,,NaN
1.4885,598,195.2,16.5,0.0065,137.89,2.14,,,,NaN
1.5670,608,202.9,16.5,0.0080,102.93,2.01,,,,NaN
1.6785,617,210.8,16.6,0.0125,73.76,1.87,,,,NaN
1.8360,626,218.9,16.6,0.0180,50.46,1.70,,,,NaN
2.0360,635,226.5,16.6,0.0230,34.40,1.54,,,,NaN
2.2360,643,232.2,16.6,0.0265,25.85,1.41,,,,NaN
2.4360,650,236.9,16.6,0.0270,20.89,1.32,,,,NaN
2.6360,658,240.8,16.6,0.0265,17.52,1.24,,,,NaN
2.8360,666,244.2,16.6,0.0265,,,,,,
3.0360,673,247.1,16.7,0.0290,,,,,,
3.2360,680,249.8,16.7,0.0280,,,,,,
3.4360,687,252.1,16.7,0.0275,,,,,,
3.5600,693,253.4,16.7,0.0220,,,,,,
Scope 1/1, Sample 3/9 (2_C_Sq2_20220702)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,93.2,16.4,NaN,,,,,,
0.0200,28,24.2,16.4,0.0005,,,,,,
0.0400,58,-15.4,16.4,0.0005,,,,,,
0.0600,88,-33.2,16.4,0.0005,,,,,,
0.1000,91,-34.2,16.4,0.0120,,,,,,
0.2000,122,-22.0,16.5,0.0035,,,,,,
0.2860,152,-10.7,16.5,0.0030,,,,,,
0.3975,175,-2.6,16.5,0.0050,,,,,,
0.5975,181,0.2,16.6,0.0315,11.95,1.08,,,,NaN
0.7975,212,14.3,16.6,0.0065,52.76,1.72,,,,NaN
0.9975,242,30.2,16.6,0.0065,193.91,2.29,,,,NaN
1.1975,272,65.9,16.7,0.0065,449.61,2.65,,,,NaN
1.2375,302,103.0,16.7,0.0015,463.27,2.67,,,,NaN
1.2575,449,133.6,16.8,0.0000,421.74,2.63,,,,NaN
1.2775,476,143.0,16.8,0.0010,453.97,2.66,,,,NaN
1.3275,499,164.0,16.9,0.0020,487.32,2.69,,,,NaN
1.3490,514,170.5,16.9,0.0015,341.11,2.53,,,,NaN
1.3850,528,179.1,16.9,0.0025,267.96,2.43,,,,NaN
1.4280,540,186.7,16.9,0.0035,195.80,2.29,,,,NaN
1.4885,551,194.8,16.9,0.0055,146.82,2.17,,,,NaN
1.5685,561,202.6,16.9,0.0080,,,,,,
1.6810,570,210.6,16.9,0.0130,,,,,,
1.8325,579,218.6,16.9,0.0165,,,,,,
2.0325,587,226.1,16.9,0.0245,,,,,,
2.2325,595,232.0,17.0,0.0240,,,,,,
Scope 1/1, Sample 4/9 (1_M_Sq3_20220705)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,95.8,16.7,NaN,,,,,,
0.0200,27,43.5,16.7,0.0005,,,,,,
0.0400,58,11.8,16.7,0.0005,,,,,,
0.0600,88,-3.9,16.7,0.0005,,,,,,
0.1015,91,-5.3,16.7,0.0125,,,,,,
0.2055,96,-4.7,16.7,0.0210,,,,,,
0.4055,105,0.4,16.8,0.0230,,,,,,
0.6055,135,12.9,16.8,0.0065,,,,,,
0.8055,165,28.1,16.8,0.0065,95.73,1.98,,,,NaN
1.0055,195,47.4,16.9,0.0065,206.47,2.31,,,,NaN
1.1435,226,70.5,16.9,0.0045,345.45,2.54,,,,NaN
1.1985,256,95.2,16.9,0.0020,445.20,2.65,,,,NaN
1.2185,286,112.5,16.9,0.0005,470.19,2.67,,,,NaN
1.2385,430,125.1,17.0,0.0000,467.42,2.67,,,,NaN
1.2585,457,134.3,17.1,0.0005,546.80,2.74,,,,NaN
1.2820,484,146.0,17.1,0.0010,479.89,2.68,,,,NaN
1.3020,504,154.9,17.1,0.0010,391.17,2.59,,,,NaN
1.3220,521,162.5,17.1,0.0010,340.67,2.53,,,,NaN
1.3470,537,170.4,17.1,0.0015,291.00,2.46,,,,NaN
1.3770,550,177.8,17.1,0.0025,246.34,2.39,,,,NaN
1.4195,562,185.6,17.1,0.0035,192.53,2.28,,,,NaN
1.4765,572,193.6,17.1,0.0055,145.55,2.16,,,,NaN
1.5530,582,201.4,17.1,0.0075,108.25,2.03,,,,NaN
1.6585,591,209.4,17.1,0.0115,78.12,1.89,,,,NaN
1.8020,600,217.2,17.2,0.0170,54.59,1.74,,,,NaN
2.0020,608,225.2,17.2,0.0255,36.52,1.56,,,,NaN
2.2020,616,231.2,17.2,0.0255,27.05,1.43,,,,NaN
2.4020,623,236.1,17.2,0.0280,21.68,1.34,,,,NaN
2.6020,630,240.0,17.2,0.0305,18.10,1.26,,,,NaN
2.8020,636,243.6,17.2,0.0310,,,,,,
3.0020,643,246.6,17.2,0.0275,,,,,,
3.2020,650,249.3,17.2,0.0280,,,,,,
3.4020,656,251.6,17.2,0.0310,,,,,,
3.5600,662,253.5,17.2,0.0245,,,,,,
Scope 1/1, Sample 5/9 (2_M_Sq3_20220705)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,96.6,16.9,NaN,,,,,,
0.0200,28,44.4,17.0,0.0005,,,,,,
0.0400,58,12.3,17.0,0.0005,,,,,,
0.0600,88,-3.3,17.0,0.0005,,,,,,
0.1020,91,-4.6,17.0,0.0125,,,,,,
0.2070,95,-5.0,17.0,0.0285,,,,,,
0.4070,102,0.1,17.0,0.0290,,,,,,
0.6070,132,12.2,17.1,0.0065,,,,,,
0.8070,162,26.9,17.1,0.0065,91.60,1.96,,,,NaN
1.0070,192,44.8,17.1,0.0065,201.01,2.30,,,,NaN
1.1670,223,72.1,17.1,0.0050,362.30,2.56,,,,NaN
1.2160,253,98.2,17.2,0.0015,455.82,2.66,,,,NaN
1.2360,283,116.2,17.2,0.0005,473.78,2.68,,,,NaN
1.2560,423,128.0,17.3,0.0000,461.67,2.66,,,,NaN
1.2765,448,137.6,17.3,0.0010,550.61,2.74,,,,NaN
1.2985,471,148.2,17.3,0.0010,451.44,2.65,,,,NaN
1.3185,490,156.6,17.3,0.0010,377.16,2.58,,,,NaN
1.3405,503,164.1,17.3,0.0015,324.10,2.51,,,,NaN
1.3690,517,172.8,17.3,0.0020,272.71,2.44,,,,NaN
1.3985,529,179.4,17.3,0.0025,232.05,2.37,,,,NaN
1.4470,541,187.9,17.3,0.0040,177.82,2.25,,,,NaN
1.5060,552,195.4,17.4,0.0055,135.77,2.13,,,,NaN
1.5920,562,203.6,17.4,0.0090,99.33,2.00,,,,NaN
1.7045,570,211.2,17.4,0.0140,71.28,1.85,,,,NaN
1.8700,579,219.6,17.4,0.0190,48.30,1.68,,,,NaN
2.0700,587,226.9,17.4,0.0255,33.31,1.52,,,,NaN
2.2700,594,232.5,17.4,0.0275,25.22,1.40,,,,NaN
2.4700,602,237.1,17.4,0.0250,20.54,1.31,,,,NaN
2.6700,609,240.9,17.4,0.0280,17.12,1.23,,,,NaN
2.8700,617,244.3,17.4,0.0255,,,,,,
3.0700,623,247.2,17.4,0.0315,,,,,,
3.2700,630,249.8,17.4,0.0300,,,,,,
3.4700,636,252.1,17.5,0.0340,,,,,,
3.5600,642,253.2,17.5,0.0155,,,,,,
Scope 1/1, Sample 6/9 (1_C_Sq3_20220630)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,90.3,17.2,NaN,,,,,,
0.0200,28,21.5,17.2,0.0005,,,,,,
0.0400,58,-17.4,17.3,0.0005,,,,,,
0.0600,88,-33.4,17.3,0.0005,,,,,,
0.1090,91,-34.0,17.3,0.0160,,,,,,
0.2315,121,-19.9,17.3,0.0040,,,,,,
0.3280,152,-8.3,17.3,0.0030,,,,,,
0.4555,169,-0.7,17.4,0.0075,,,,,,
0.6555,176,3.2,17.4,0.0280,,,,,,
0.8555,206,18.7,17.4,0.0065,90.33,1.96,,,,NaN
1.0555,237,38.6,17.4,0.0065,270.35,2.43,,,,NaN
1.1855,267,69.9,17.5,0.0045,480.99,2.68,,,,NaN
1.2130,297,95.9,17.5,0.0010,528.09,2.72,,,,NaN
1.2330,327,115.3,17.5,0.0005,530.50,2.72,,,,NaN
1.2530,472,130.0,17.6,0.0000,530.70,2.72,,,,NaN
1.2730,497,139.8,17.6,0.0010,635.68,2.80,,,,NaN
1.2975,522,151.7,17.6,0.0010,436.48,2.64,,,,NaN
1.3175,542,159.9,17.6,0.0010,374.75,2.57,,,,NaN
1.3410,559,167.8,17.6,0.0015,316.24,2.50,,,,NaN
1.3695,572,175.2,17.6,0.0020,262.81,2.42,,,,NaN
1.4090,585,183.3,17.7,0.0030,209.79,2.32,,,,NaN
1.4590,596,191.0,17.7,0.0045,160.34,2.21,,,,NaN
1.5280,607,198.9,17.7,0.0065,,,,,,
1.6220,616,206.7,17.7,0.0100,,,,,,
1.7570,625,214.9,17.7,0.0150,,,,,,
1.9350,634,222.7,17.7,0.0205,,,,,,
2.1350,642,229.4,17.7,0.0255,,,,,,
Scope 1/1, Sample 7/9 (2_C_Sq3_20220630)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,89.9,17.4,NaN,,,,,,
0.0200,28,21.9,17.4,0.0005,,,,,,
0.0400,58,-17.4,17.4,0.0005,,,,,,
0.0600,88,-33.8,17.4,0.0005,,,,,,
0.1065,91,-34.9,17.4,0.0135,,,,,,
0.2225,122,-21.6,17.5,0.0040,,,,,,
0.3200,142,-13.5,17.5,0.0050,,,,,,
0.5200,172,-0.4,17.5,0.0070,,,,,,
0.7200,202,12.1,17.5,0.0065,53.29,1.73,,,,NaN
0.9200,232,27.1,17.6,0.0065,135.50,2.13,,,,NaN
1.1200,262,51.4,17.6,0.0065,333.18,2.52,,,,NaN
1.2065,292,81.8,17.6,0.0030,463.45,2.67,,,,NaN
1.2265,323,103.6,17.6,0.0005,478.48,2.68,,,,NaN
1.2465,468,123.2,17.7,0.0000,467.26,2.67,,,,NaN
1.2665,495,132.0,17.7,0.0005,552.81,2.74,,,,NaN
1.3070,524,151.6,17.7,0.0015,496.25,2.70,,,,NaN
1.3270,542,159.6,17.7,0.0010,360.79,2.56,,,,NaN
1.3510,558,167.8,17.7,0.0015,310.66,2.49,,,,NaN
1.3790,571,175.2,17.7,0.0020,259.93,2.41,,,,NaN
1.4185,584,183.2,17.8,0.0030,212.76,2.33,,,,NaN
1.4695,595,191.0,17.8,0.0045,159.43,2.20,,,,NaN
1.5385,604,198.7,17.8,0.0080,,,,,,
1.6375,613,206.9,17.8,0.0105,,,,,,
1.7660,622,214.7,17.8,0.0140,,,,,,
1.9465,631,222.6,17.8,0.0205,,,,,,
2.1465,639,229.3,17.8,0.0260,,,,,,
Scope 1/1, Sample 8/9 (1_C_Sq3_20220628)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,90.3,17.6,NaN,,,,,,
0.0200,28,25.1,17.6,0.0005,,,,,,
0.0400,58,-12.5,17.6,0.0005,,,,,,
0.0600,88,-28.4,17.6,0.0005,,,,,,
0.1075,91,-29.3,17.6,0.0155,,,,,,
0.2265,121,-17.0,17.7,0.0040,,,,,,
0.3450,152,-5.4,17.7,0.0040,,,,,,
0.5195,158,0.4,17.7,0.0290,,,,,,
0.7195,188,13.0,17.7,0.0065,45.87,1.66,,,,NaN
0.9195,207,25.5,17.7,0.0105,146.44,2.17,,,,NaN
1.1195,237,53.9,17.7,0.0065,373.44,2.57,,,,NaN
1.1830,267,81.9,17.8,0.0020,472.86,2.67,,,,NaN
1.2030,298,103.6,17.8,0.0005,483.83,2.68,,,,NaN
1.2230,444,122.5,17.8,0.0000,475.76,2.68,,,,NaN
1.2430,471,130.8,17.8,0.0005,592.08,2.77,,,,NaN
1.2860,500,151.8,17.8,0.0015,471.12,2.67,,,,NaN
1.3060,519,160.0,17.9,0.0010,356.07,2.55,,,,NaN
1.3290,534,167.7,17.9,0.0015,310.45,2.49,,,,NaN
1.3585,547,175.5,17.9,0.0020,258.90,2.41,,,,NaN
1.3970,559,183.3,17.9,0.0035,213.96,2.33,,,,NaN
1.4475,569,191.1,17.9,0.0050,160.28,2.20,,,,NaN
1.5170,579,199.1,17.9,0.0065,119.80,2.08,,,,NaN
1.6100,588,206.7,17.9,0.0100,87.85,1.94,,,,NaN
1.7445,597,214.9,17.9,0.0150,61.32,1.79,,,,NaN
1.9230,605,222.9,17.9,0.0215,41.79,1.62,,,,NaN
2.1230,613,229.5,17.9,0.0260,29.94,1.48,,,,NaN
2.3230,620,234.7,17.9,0.0295,23.34,1.37,,,,NaN
2.5230,627,239.0,17.9,0.0280,19.21,1.28,,,,NaN
2.7230,633,242.6,17.9,0.0310,16.26,1.21,,,,NaN
2.9230,640,245.8,17.9,0.0265,,,,,,
3.1230,647,248.6,17.9,0.0300,,,,,,
3.3230,653,251.1,17.9,0.0355,,,,,,
3.5230,659,253.4,17.9,0.0330,,,,,,
3.5600,663,253.8,17.9,0.0090,,,,,,
Scope 1/1, Sample 9/9 (2_C_Sq3_20220628)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,91.3,17.7,NaN,,,,,,
0.0200,27,25.4,17.7,0.0005,,,,,,
0.0400,58,-12.9,17.7,0.0005,,,,,,
0.0600,88,-28.8,17.7,0.0005,,,,,,
0.1090,91,-29.7,17.8,0.0165,,,,,,
0.2315,121,-16.7,17.8,0.0040,,,,,,
0.3445,151,-4.5,17.8,0.0035,,,,,,
