Task,T434
Scope 1/1, Sample 1/9 (JUNK1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-50.8,21.7,NaN,,,,,,
0.0200,13,-67.0,21.7,0.0015,,,,,,
0.0400,16,-67.3,21.7,0.0060,,,,,,
0.0900,41,-56.9,21.7,0.0020,,,,,,
0.1195,63,-48.6,21.7,0.0015,,,,,,
0.1615,93,-34.1,21.7,0.0015,,,,,,
0.1990,120,-21.1,21.7,0.0015,,,,,,
0.2450,145,-8.9,21.7,0.0020,,,,,,
0.3240,166,3.5,21.7,0.0035,,,,,,
0.4980,196,26.8,21.7,0.0055,95.90,1.98,,,,NaN
0.6365,227,44.7,21.7,0.0045,69.65,1.84,,,,NaN
0.7650,252,57.5,21.7,0.0050,84.28,1.93,,,,NaN
0.9650,256,70.2,21.7,0.0455,185.81,2.27,,,,NaN
1.1650,287,129.4,21.7,0.0065,383.19,2.58,,,,NaN
1.1850,421,140.8,21.7,0.0000,370.68,2.57,,,,NaN
1.2050,432,150.3,21.7,0.0015,331.31,2.52,,,,NaN
1.2250,443,159.3,21.7,0.0020,343.14,2.54,,,,NaN
1.2450,452,166.7,21.7,0.0020,335.20,2.53,,,,NaN
1.2705,461,174.6,21.7,0.0030,290.45,2.46,,,,NaN
1.3020,469,181.9,21.7,0.0040,238.96,2.38,,,,NaN
1.3475,472,190.1,21.7,0.0130,185.25,2.27,,,,NaN
1.4050,480,197.8,21.7,0.0070,140.77,2.15,,,,NaN
1.4850,488,205.8,21.7,0.0105,104.60,2.02,,,,NaN
1.5935,495,213.7,21.7,0.0155,75.68,1.88,,,,NaN
1.7410,502,221.6,21.7,0.0210,53.11,1.73,,,,NaN
1.9410,510,229.6,21.7,0.0245,36.05,1.56,,,,NaN
2.1410,517,235.5,21.7,0.0275,26.95,1.43,,,,NaN
2.3410,524,240.4,21.7,0.0275,21.68,1.34,,,,NaN
2.5410,531,244.4,21.7,0.0290,18.36,1.26,,,,NaN
2.7410,537,247.9,21.7,0.0335,15.77,1.20,,,,NaN
2.9410,544,251.0,21.7,0.0300,,,,,,
3.1410,550,253.7,21.7,0.0335,,,,,,
3.3410,556,256.2,21.7,0.0340,,,,,,
3.5410,561,258.3,21.7,0.0375,,,,,,
3.5600,565,258.6,21.7,0.0055,,,,,,
Scope 1/1, Sample 2/9 (POC-239)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-40.2,21.7,NaN,,,,,,
0.0200,17,-64.3,21.7,0.0010,,,,,,
0.0400,20,-64.5,21.7,0.0065,,,,,,
0.0900,48,-53.7,21.7,0.0020,,,,,,
0.1175,70,-45.9,21.7,0.0010,,,,,,
0.1610,100,-31.3,21.7,0.0015,,,,,,
0.2010,128,-18.7,21.7,0.0015,,,,,,
0.2550,155,-6.6,21.7,0.0020,,,,,,
0.3565,168,3.7,21.7,0.0075,,,,,,
0.5565,199,27.9,21.7,0.0065,,,,,,
0.6685,226,41.7,21.7,0.0040,87.63,1.94,,,,NaN
0.7975,250,52.6,21.7,0.0055,89.23,1.95,,,,NaN
0.9975,277,71.3,21.7,0.0075,118.60,2.07,,,,NaN
1.1540,298,90.4,21.7,0.0075,176.53,2.25,,,,NaN
