Task,T761
Scope 1/1, Sample 1/8 (JUNK1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-33.6,19.9,NaN,,,,,,
0.0200,19,-59.0,20.0,0.0010,,,,,,
0.0400,22,-59.3,20.0,0.0060,,,,,,
0.0900,37,-54.4,20.0,0.0035,,,,,,
0.2150,67,-28.9,20.0,0.0040,,,,,,
0.2530,98,-10.1,20.0,0.0010,,,,,,
0.2730,115,-4.0,20.0,0.0010,,,,,,
0.3230,134,3.0,20.0,0.0025,,,,,,
0.4480,164,17.2,20.0,0.0040,,,,,,
0.6225,195,33.8,20.0,0.0055,84.49,1.93,,,,NaN
0.8215,225,51.0,20.0,0.0065,73.88,1.87,,,,NaN
1.0215,255,67.8,20.0,0.0065,89.92,1.95,,,,NaN
1.2185,282,85.6,20.0,0.0075,137.85,2.14,,,,NaN
1.3830,307,110.6,20.0,0.0065,224.71,2.35,,,,NaN
1.4145,438,118.8,20.0,0.0000,269.40,2.43,,,,NaN
1.4345,452,124.1,20.0,0.0015,301.28,2.48,,,,NaN
1.4650,469,133.6,20.0,0.0020,334.63,2.52,,,,NaN
1.4865,483,141.9,20.0,0.0015,365.91,2.56,,,,NaN
1.5065,496,150.5,20.0,0.0015,408.03,2.61,,,,NaN
1.5265,508,159.1,20.0,0.0015,393.61,2.60,,,,NaN
1.5465,518,167.3,20.0,0.0020,349.92,2.54,,,,NaN
1.5670,528,174.6,20.0,0.0020,307.60,2.49,,,,NaN
1.5930,538,182.0,20.0,0.0025,269.32,2.43,,,,NaN
1.6275,546,189.7,20.0,0.0045,223.50,2.35,,,,NaN
1.6745,554,197.8,20.0,0.0060,,,,,,
1.7335,562,205.3,20.0,0.0075,,,,,,
1.8185,570,213.4,20.0,0.0105,,,,,,
1.9320,577,221.3,20.0,0.0155,,,,,,
2.0885,585,229.3,20.0,0.0195,,,,,,
Scope 1/1, Sample 2/8 (HT1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-47.7,22.2,NaN,,,,,,
0.0200,14,-64.1,22.3,0.0015,,,,,,
0.0400,17,-64.5,22.3,0.0060,,,,,,
0.0900,34,-59.3,22.3,0.0030,,,,,,
0.2100,64,-37.4,22.3,0.0040,,,,,,
0.2595,94,-18.8,22.2,0.0015,,,,,,
0.2805,114,-11.9,22.2,0.0010,,,,,,
0.3330,137,-1.4,22.2,0.0025,,,,,,
0.4640,168,14.4,22.1,0.0045,,,,,,
0.6640,198,33.9,22.1,0.0065,85.24,1.93,,,,NaN
0.8640,228,51.8,22.0,0.0065,70.65,1.85,,,,NaN
1.0595,257,67.3,22.0,0.0070,81.06,1.91,,,,NaN
1.2595,284,83.0,22.0,0.0075,122.06,2.09,,,,NaN
1.4595,313,111.0,21.9,0.0070,213.67,2.33,,,,NaN
1.4915,449,119.3,21.8,0.0000,258.14,2.41,,,,NaN
1.5115,463,124.0,21.7,0.0015,288.10,2.46,,,,NaN
1.5485,479,135.1,21.7,0.0025,328.77,2.52,,,,NaN
1.5695,492,142.9,21.7,0.0015,351.88,2.55,,,,NaN
1.5895,505,151.3,21.7,0.0015,395.64,2.60,,,,NaN
1.6095,517,159.7,21.7,0.0015,389.58,2.59,,,,NaN
1.6295,528,167.8,21.7,0.0020,347.21,2.54,,,,NaN
1.6500,537,175.1,21.7,0.0025,305.34,2.48,,,,NaN
1.6760,546,182.6,21.6,0.0030,267.92,2.43,,,,NaN
1.7100,555,190.2,21.6,0.0040,223.62,2.35,,,,NaN
1.7560,563,198.1,21.6,0.0060,,,,,,
1.8180,570,206.0,21.6,0.0085,,,,,,
1.9000,577,213.9,21.6,0.0110,,,,,,
2.0130,585,221.8,21.6,0.0145,,,,,,
2.1685,592,229.8,21.6,0.0220,,,,,,
Scope 1/1, Sample 3/8 (HT2)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-46.7,21.4,NaN,,,,,,
0.0200,14,-64.3,21.5,0.0015,,,,,,
0.0400,18,-64.7,21.5,0.0055,,,,,,
0.0900,34,-59.9,21.5,0.0030,,,,,,
0.2150,64,-37.3,21.5,0.0040,,,,,,
0.2620,94,-18.5,21.4,0.0015,,,,,,
0.2820,115,-11.0,21.4,0.0010,,,,,,
0.3265,136,-2.2,21.4,0.0020,,,,,,
0.4375,166,11.9,21.4,0.0035,,,,,,
0.6340,197,30.4,21.3,0.0065,90.19,1.96,,,,NaN
0.8340,227,49.0,21.3,0.0065,72.51,1.86,,,,NaN
1.0095,257,63.5,21.3,0.0060,77.96,1.89,,,,NaN
1.2095,283,78.5,21.3,0.0080,110.25,2.04,,,,NaN
1.4095,312,102.7,21.2,0.0070,187.51,2.27,,,,NaN
1.4505,448,112.0,21.1,0.0005,231.86,2.37,,,,NaN
1.4705,461,116.1,21.1,0.0015,260.65,2.42,,,,NaN
1.5120,479,126.7,21.1,0.0025,310.03,2.49,,,,NaN
1.5380,496,135.3,21.1,0.0015,338.20,2.53,,,,NaN
1.5580,510,143.3,21.1,0.0015,380.81,2.58,,,,NaN
1.5780,522,151.8,21.1,0.0015,414.16,2.62,,,,NaN
1.5980,534,160.8,21.1,0.0015,393.14,2.59,,,,NaN
1.6180,544,168.6,21.1,0.0020,344.10,2.54,,,,NaN
1.6415,553,176.7,21.1,0.0025,300.18,2.48,,,,NaN
1.6680,562,184.1,21.0,0.0030,261.80,2.42,,,,NaN
1.7035,572,191.7,21.0,0.0035,216.53,2.34,,,,NaN
1.7515,579,199.5,21.0,0.0065,,,,,,
1.8170,584,207.4,21.0,0.0140,,,,,,
1.9065,592,215.5,21.0,0.0110,,,,,,
2.0230,599,223.2,21.0,0.0155,,,,,,
2.1920,607,231.3,21.0,0.0220,,,,,,
Scope 1/1, Sample 4/8 (BT1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-45.5,19.8,NaN,,,,,,
0.0200,14,-64.4,19.8,0.0015,,,,,,
0.0400,18,-64.8,19.8,0.0055,,,,,,
0.0900,32,-60.9,19.8,0.0035,,,,,,
0.2150,62,-39.5,19.8,0.0040,,,,,,
0.2590,92,-21.1,19.8,0.0015,,,,,,
0.2790,116,-12.2,19.8,0.0010,,,,,,
0.3125,137,-5.0,19.8,0.0015,,,,,,
0.3965,151,3.4,19.8,0.0060,,,,,,
0.5965,181,24.2,19.8,0.0065,,,,,,
0.7440,211,41.1,19.8,0.0050,78.41,1.89,,,,NaN
0.8710,237,52.9,19.8,0.0050,73.80,1.87,,,,NaN
1.0710,262,66.0,19.8,0.0080,83.59,1.92,,,,NaN
1.2710,287,82.2,19.8,0.0080,125.12,2.10,,,,NaN
